Indicator,Year,Group,Component,Quantity,Indicator value
Expected survival of listed threatened ecological communities,2012,Terrestrial,potential_loss,Percent,0.451578947368421
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Freshwater),already_lost,Count,0
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Freshwater),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Freshwater),exp_survival,Count,8.15
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Freshwater),exp_survival,Percent,0.582142857142857
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Freshwater),potential_loss,Count,5.85
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Freshwater),potential_loss,Percent,0.417857142857143
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Marine),already_lost,Count,0
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Marine),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Marine),exp_survival,Count,1.3
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Marine),exp_survival,Percent,0.65
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Marine),potential_loss,Count,0.7
Expected survival of listed threatened ecological communities,2012,Transitional (Terrestrial - Marine),potential_loss,Percent,0.35
Expected survival of listed threatened ecological communities,2017,Terrestrial,already_lost,Count,0
Expected survival of listed threatened ecological communities,2017,Terrestrial,already_lost,Percent,0
Expected survival of listed threatened ecological communities,2017,Terrestrial,exp_survival,Count,52.1
Expected survival of listed threatened ecological communities,2017,Terrestrial,exp_survival,Percent,0.548421052631579
Expected survival of listed threatened ecological communities,2017,Terrestrial,potential_loss,Count,42.9
Expected survival of listed threatened ecological communities,2017,Terrestrial,potential_loss,Percent,0.451578947368421
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Freshwater),already_lost,Count,0
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Freshwater),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Freshwater),exp_survival,Count,8.15
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Freshwater),exp_survival,Percent,0.582142857142857
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Freshwater),potential_loss,Count,5.85
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Freshwater),potential_loss,Percent,0.417857142857143
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Marine),already_lost,Count,0
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Marine),already_lost,Percent,0
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Marine),exp_survival,Count,1.3
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Marine),exp_survival,Percent,0.65
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Marine),potential_loss,Count,0.7
Expected survival of listed threatened ecological communities,2017,Transitional (Terrestrial - Marine),potential_loss,Percent,0.35
Expected survival of listed threatened ecological communities,2020,Terrestrial,already_lost,Count,0
Expected survival of listed threatened ecological communities,2020,Terrestrial,already_lost,Percent,0
Expected survival of listed threatened ecological communities,2020,Terrestrial,exp_survival,Count,52.1
Expected survival of listed threatened ecological communities,2020,Terrestrial,exp_survival,Percent,0.548421052631579
Expected survival of listed threatened ecological communities,2020,Terrestrial,potential_loss,Count,42.9
Expected survival of listed threatened ecological communities,2020,Terrestrial,potential_loss,Percent,0.451578947368421
